Player,Team,POS,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INT,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS
Lamar Jackson,BAL,QB,460.6,292.6,3386.9,30,11.9,160.7,999.5,5.6,4.2,357
Patrick Mahomes,KC,QB,559.9,363.3,4479.3,32.8,9.8,72.8,352.6,3.7,3.5,341.4
Deshaun Watson,HOU,QB,510.9,336.4,3953.5,25.8,14.2,94.3,504.4,5.6,3.7,309.4
Dak Prescott,DAL,QB,556.1,359.3,4420.6,28,12.4,52.9,264,3.8,3.3,306.6
Russell Wilson,SEA,QB,478.4,309.4,3819,28.6,8.5,78.2,414.9,2.5,2.9,300.7
Kyler Murray,ARI,QB,543.9,350.1,3803.2,25.8,14.5,92.9,517.4,3.7,2.7,294.6
Josh Allen,BUF,QB,510.9,299.6,3522.5,20.6,13.8,106.2,610.9,7.7,5.2,292.8
Tom Brady,TB,QB,560.2,350.3,4486.3,30.3,11.8,25.7,32.3,1.8,2.6,285.7
Matt Ryan,ATL,QB,621.8,408,4615.9,27.7,14.9,33,129.2,1,4.6,275.3
Drew Brees,NO,QB,517.7,369.6,3922.1,31.1,9,19.7,21.7,1.7,1.8,271.6
Carson Wentz,PHI,QB,549.8,356.1,3887.2,27,9.5,55.1,212.2,1.4,5.7,262.6
Aaron Rodgers,GB,QB,539.6,338.7,3846.9,25.4,7.6,46.9,206.4,1.1,3.7,260.1
Daniel Jones,NYG,QB,555.5,351.3,3845.4,25,15.5,53.4,299.8,2.7,9.5,249.7
Matthew Stafford,DET,QB,552.2,346.5,4169.6,25.7,13.4,35.7,127.9,0.3,5.4,246.8
Jared Goff,LAR,QB,594,374,4365.4,22.8,14.6,34.4,57.4,2,4.8,244.5
Ryan Tannehill,TEN,QB,420.6,277.8,3451.2,23.7,10.8,59.9,221.3,2.6,4,241
Baker Mayfield,CLE,QB,523.4,321.2,3832.1,24.6,16.7,30.8,131.9,1.8,2.7,236.5
Joe Burrow,CIN,QB,560.9,343.9,3826.3,21.6,14.3,56.7,301.8,2,9,234.8
Gardner Minshew II,JAC,QB,538.6,333.8,3715.6,19.3,10.2,64.4,318.8,1.1,6.7,230.4
Kirk Cousins,MIN,QB,492.1,333.5,3770.6,23.2,11.3,34,87.9,1.4,4.2,229.8
Drew Lock,DEN,QB,522.2,332.2,3715.1,22.2,13.2,43.2,188.8,0.5,4.1,224.8
Ben Roethlisberger,PIT,QB,536.3,342.8,3736.5,24.1,15.1,27.4,74.4,1,2.7,223.6
Jimmy Garoppolo,SF,QB,458.4,308.2,3695.7,25.7,16.4,45.4,64.3,1.2,4,223.6
Philip Rivers,IND,QB,522.1,326.7,3639.5,25.5,14.9,17.3,36.4,0.1,3.2,216
Teddy Bridgewater,CAR,QB,531.1,338.1,3708.5,19.6,11.9,27.1,43.3,0.5,1.4,207.8
Sam Darnold,NYJ,QB,518.7,323,3657.1,21,19.5,40.2,95.6,2.4,3.8,207.3
Jarrett Stidham,NE,QB,560.3,342,3681.2,19.3,16.1,39,141.3,1.4,4,207
Derek Carr,LV,QB,431.4,293,3257.2,18.7,9.4,22.7,65.2,1,3.2,192.7
Tua Tagovailoa,MIA,QB,433.9,273.9,3068.2,18.1,12.3,27.5,118.4,1.1,3.2,182.3
Justin Herbert,LAC,QB,343.3,216.3,2547.1,14.1,10.1,28.2,109,0.8,2.7,148.3
Nick Foles,CHI,QB,390,252.3,2632.4,14.8,9.5,17.3,31.2,0.3,4,142.5
Dwayne Haskins,WAS,QB,411,251,2661,16,19,21,89,0,2,137.3
Tyrod Taylor,LAC,QB,211.8,135.7,1651.1,9.4,6.8,25.3,105.6,0.7,0.3,104.4
Ryan Fitzpatrick,MIA,QB,196.5,123.6,1371.2,8.2,6.2,17.8,89.1,1.2,1,89.6
Mitch Trubisky,CHI,QB,180,115.1,1215.4,6.7,4.4,13.5,69.1,0.4,0.8,74.1
Brian Hoyer,NE,QB,150.8,89.2,976.8,5.2,4.6,7.3,7.6,0,0.8,50.2
Marcus Mariota,LV,QB,90.6,60.3,681.4,3.8,2.4,9.9,52.3,0.2,0.3,43.2
Phillip Walker,CAR,QB,75.4,45.4,515.8,2.8,2,4.7,19,0.2,0.5,29.7
Jalen Hurts,PHI,QB,37.2,22.4,251.3,1.5,1.2,28.1,148.6,1.3,3.7,29
Taysom Hill,NO,QB,12,8,78,1,0,35,173,1,1,28.4
Kyle Allen,WAS,QB,55.7,34.9,383.5,2.2,1.9,4,16.2,0.2,0.3,22.2
Joshua Dobbs,JAC,QB,64.9,38.8,429.8,1.9,1.9,3.1,13.1,0.1,0.5,21.7
Mason Rudolph,PIT,QB,42.4,27,290,2,1.4,5.2,19.1,0.1,0.2,18.9
Jameis Winston,NO,QB,32.3,20.4,242.4,1.6,0.9,3.1,14.5,0,0.2,15.4
Blaine Gabbert,TB,QB,34.2,20.4,253,1.7,1.3,3.1,12.8,0,0.2,15.4
Robert Griffin,BAL,QB,22.1,13.9,156.1,1.2,0.8,6,27.6,0.1,0.1,12.7
Andy Dalton,DAL,QB,23,15,183,1,1,5,20,0,0,11.3
Chase Daniel,DET,QB,25.4,16.1,180.4,1.2,0.9,2.5,9.5,0,0.1,11.3
Matt Schaub,ATL,QB,29,19.4,217.5,1.2,0.9,2.4,3.2,0,0.6,11.1
Jeff Driskel,DEN,QB,23.3,14,156.7,1,0.8,3.6,23.3,0,0.1,11.1
Colt McCoy,NYG,QB,26.3,16.7,185.5,1.2,0.9,1.5,8.1,0,0.2,11
Chad Henne,KC,QB,25.1,14.5,165.9,1.3,0.5,2.5,3.5,0,0.1,10.9
Cooper Rush,NYG,QB,27.6,16,181.8,1.3,0.9,0.9,3.9,0,0.2,10.8
Brett Hundley,ARI,QB,25.3,15.6,165.2,1.1,0.9,2.5,13,0,0.1,10.7
Case Keenum,CLE,QB,24.5,15.4,175.2,1.2,0.8,1.2,5.3,0,0.1,10.6
AJ McCarron,HOU,QB,24.9,15.3,173.2,1.2,1,1.2,5.8,0,0.1,10.2
Josh Rosen,MIA,QB,25,15,166,1,1,4,14,0,0,10
Ryan Finley,CIN,QB,25.7,14.9,170.1,1,0.8,2.6,10,0,0.2,10
Matt Barkley,BUF,QB,25.7,15.5,192.8,0.9,0.9,2.1,7.4,0.1,0.2,10
David Blough,DET,QB,23,13,157,1,1,4,16,0,0,9.9
Nick Mullens,SF,QB,21.6,14.1,171.2,1.1,0.8,2.6,2.7,0,0.1,9.9
John Wolford,LAR,QB,19,12,137,1,0,1,3,0,0,9.8
Jacoby Brissett,IND,QB,18.3,10.9,118.9,1.1,0.2,1.9,8.8,0.1,0.1,9.8
Jordan Love,GB,QB,22.3,13.1,149,1.1,0.5,1.1,4,0,0.1,9.7
Nate Stanley,MIN,QB,15,10,115,1,0,1,4,0,0,9
Cole McDonald,TEN,QB,17.5,10.7,125.5,1,0.4,1.3,5.4,0,0.1,9
Jake Luton,JAC,QB,17,11,116,1,0,1,3,0,0,8.9
David Fales,NYJ,QB,21,13,143,1,1,4,11,0,0,8.8
Garrett Gilbert,CLE,QB,12,7,95,1,0,4,4,0,0,8.2
James Morgan,NYJ,QB,21.6,12.9,141.9,1,0.9,1,3.2,0,0.1,8.1
Jake Fromm,BUF,QB,12,7,83,1,0,1,4,0,0,7.7
Sean Mannion,MIN,QB,23,13.5,151.1,0.5,1,2.4,3,0,0.6,5.1
Jacob Eason,IND,QB,10,6,62,0,0,1,2,0,0,2.7
Malcolm Perry,MIA,QB,0,0,0,0,0,1,3,0,0,0.3
C.J. Beathard,SF,QB,0,0,0,0,0,0,0,0,0,0
Logan Woodside,TEN,QB,0,0,0,0,0,0,0,0,0,0
DeShone Kizer,LV,QB,0,0,0,0,0,0,0,0,0,0
Davis Webb,BUF,QB,0,0,0,0,0,0,0,0,0,0
Danny Etling,ATL,QB,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,0,0,0,0,0,0,0,0,0,0
Devlin Hodges,PIT,QB,0,0,0,0,0,0,0,0,0,0
Paxton Lynch,PIT,QB,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta,PHI,QB,0,0,0,0,0,0,0,0,0,0
Brandon Allen,DEN,QB,0,0,0,0,0,0,0,0,0,0
Alex Smith,WAS,QB,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,LV,QB,0,0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,QB,0,0,0,0,0,0,0,0,0,0
Will Grier,CAR,QB,0,0,0,0,0,0,0,0,0,0
Tommy Stevens,NO,QB,0,0,0,0,0,0,0,0,0,0
Jake Rudock,MIA,QB,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,QB,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,DAL,QB,0,0,0,0,0,0,0,0,0,0
Mike White,NYJ,QB,0,0,0,0,0,0,0,0,0,0
Clayton Thorson,DAL,QB,0,0,0,0,0,0,0,0,0,0
Chad Kelly,IND,QB,0,0,0,0,0,0,0,0,0,0
Alex Tanney,NYG,QB,0,0,0,0,0,0,0,0,0,0
Alex McGough,HOU,QB,0,0,0,0,0,0,0,0,0,0
Trace McSorley,BAL,QB,0,0,0,0,0,0,0,0,0,0
Nate Sudfeld,PHI,QB,0,0,0,0,0,0,0,0,0,0
