Player,Team,POS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS
Michael Thomas,NO,WR,122.9,1400.1,8.5,1,-5,0,0.8,189.1
Julio Jones,ATL,WR,102.6,1443.5,6.9,1.9,6.7,0,0.8,184.7
Tyreek Hill,KC,WR,80.4,1191.8,8.5,12.1,62.8,0.3,0.7,177.1
Davante Adams,GB,WR,99.5,1293,8.1,0,0,0,0.8,176.5
Mike Evans,TB,WR,71.7,1164.4,8.6,0,0,0,0.7,166.6
Chris Godwin,TB,WR,80.4,1176.2,7.8,1,8,0,0.8,163.7
DeAndre Hopkins,ARI,WR,97.7,1160.3,7.9,2.4,15.3,0.1,0.8,163.6
Kenny Golladay,DET,WR,64.6,1129.5,8,0,3,0,0.7,159.9
Adam Thielen,MIN,WR,77.4,1088.1,7.2,4.7,19.3,0.6,0.8,156
Amari Cooper,DAL,WR,72.4,1068.9,7.3,1.6,10.4,0,0.7,150.7
Calvin Ridley,ATL,WR,76.6,1021.7,7.8,2.4,25.2,0,0.7,150.1
Tyler Lockett,SEA,WR,77.5,1072.9,7,5.2,20.3,0.1,0.7,150
A.J. Brown,TEN,WR,59.1,1020.4,6.9,4.2,43.2,0.6,0.7,149.6
D.J. Moore,CAR,WR,90.1,1208.3,4.2,7.1,56,0.1,1.5,149.3
Cooper Kupp,LAR,WR,83.6,1040.1,7.5,3,14.9,0.1,0.9,148.9
DeVante Parker,MIA,WR,71.3,1090.5,6.7,0,0,0,0.6,148.1
Courtland Sutton,DEN,WR,70.1,1067.8,6.9,2,11.6,0,0.8,147.9
JuJu Smith-Schuster,PIT,WR,86.5,1100.9,6.4,0,2,0,0.7,147
Terry McLaurin,WAS,WR,71.8,1077,6.7,0,0,0,0.7,146.2
T.Y. Hilton,IND,WR,72.5,1009.4,7.6,0,0,0,0.7,144.8
Allen Robinson,CHI,WR,88,1061.9,6.4,1.4,6.9,0,1,143.6
Robert Woods,LAR,WR,83.6,1065.7,3.7,16.9,105.1,0.9,0.7,143.6
Odell Beckham Jr.,CLE,WR,74.7,1071.3,5.7,3.5,17.8,0.1,0.7,142.3
Marquise Brown,BAL,WR,60.4,840.1,7.1,18,162,0,0.6,141.8
Keenan Allen,LAC,WR,87.3,1058.1,5.5,4.5,27.9,0.1,0.7,140.2
D.K. Metcalf,SEA,WR,63.4,991.5,7.1,2.1,10.6,0,1.8,139.3
Michael Gallup,DAL,WR,63.7,1035,5.9,0,0,0,0.6,138
Jarvis Landry,CLE,WR,76.1,1019.8,5.9,1,14,0,0.7,137.7
Deebo Samuel,SF,WR,60.8,836.3,4.5,18.3,193.4,1.4,0.8,136.8
A.J. Green,CIN,WR,71.5,1022.9,6,0,0,0,1.3,136
Marvin Jones,DET,WR,65.3,902,7.6,2,5.7,0,0.6,135.3
D.J. Chark,JAC,WR,70.6,963.3,6.1,1.8,12.3,0,0.9,132.6
Stefon Diggs,BUF,WR,63.2,959.9,5.3,6.6,53,0,1.4,130.4
Julian Edelman,NE,WR,80.9,937.2,4.3,9.6,51.3,0.6,0.9,126.8
Tyler Boyd,CIN,WR,80.6,949,5,3.5,21.2,0,1.3,124.7
Sterling Shepard,NYG,WR,74.9,822.5,4.9,7.2,57.9,0.1,0.6,116.9
Preston Williams,MIA,WR,63.3,863.7,5.4,1,2,0,1.2,116.7
Darius Slayton,NYG,WR,54.3,800.2,6.2,0,0,0,0.7,115.9
Brandin Cooks,HOU,WR,57.6,846,4.3,5.9,46.7,0,0.7,114.3
Jamison Crowder,NYJ,WR,74.2,843.8,4.9,2,12,0,0.7,113.6
Diontae Johnson,PIT,WR,69.7,802,5.4,4,31.4,0.1,1.4,113.5
Robby Anderson,CAR,WR,56,838.1,4.9,1.4,7.3,0,0.7,112.5
John Brown,BUF,WR,58.8,839.4,4.7,2,10.5,0,0.6,112.4
Christian Kirk,ARI,WR,66.2,755.6,4.6,12,91.6,0.2,0.6,112.4
Will Fuller,HOU,WR,60.6,846.7,4.6,0,2,0,0.7,111.2
Golden Tate,NYG,WR,65.1,806.8,4.8,2.9,21.9,0.1,0.8,110.5
Mike Williams,LAC,WR,47,866.9,3.8,2,8,0,0.1,110
Henry Ruggs III,LV,WR,59.2,791.7,4.6,4,23.8,0.1,0.4,109.4
Breshad Perriman,NYJ,WR,49.1,788,4.9,1.9,10.9,0,0.1,109.4
Emmanuel Sanders,NO,WR,63,765.1,5.4,1,9.6,0.1,0.6,109
Curtis Samuel,CAR,WR,49.5,591.6,4.9,20.2,141.6,0.8,0.6,106.6
Sammy Watkins,KC,WR,55.1,796.4,3.9,3.2,23.3,0.1,0.7,104.5
CeeDee Lamb,DAL,WR,50.9,774.8,4.3,2.1,12.4,0,1.2,102.6
Jerry Jeudy,DEN,WR,54.7,790,4.2,2,8,0,1.2,102.6
Hunter Renfrow,LV,WR,60.3,721.9,5.2,0,0,0,0.7,101.9
Jalen Reagor,PHI,WR,53.3,715.9,4.8,2,11.7,0,1.2,99.8
DeSean Jackson,PHI,WR,43.2,643.5,4,4,33,1,0.1,97.6
Justin Jefferson,MIN,WR,53,741.4,4.1,2,11,0,1.2,97.4
Mecole Hardman,KC,WR,38.3,619.9,5.6,5.1,17.9,0.1,1.1,95.8
Anthony Miller,CHI,WR,58.5,740.4,3.6,1.9,6.7,0,0.7,95.2
Allen Lazard,GB,WR,50,671.4,3.8,2,19.7,0,0.6,90.5
N'Keal Harry,NE,WR,47,574.8,4.2,11.1,74,0.1,0.7,89.5
Tyrell Williams,LV,WR,39.9,601.6,4.6,0,3,0,0.1,87.7
Danny Amendola,DET,WR,62.1,685,2.9,0,0,0,0.6,84.5
Alshon Jeffery,PHI,WR,46.1,538.1,4.2,1,2,1,0.6,84
Parris Campbell,IND,WR,44.7,546.2,3.4,13,71.9,0.4,0.3,83.6
Brandon Aiyuk,SF,WR,39.7,597.9,3.9,3,14,0,0.6,83.3
Randall Cobb,HOU,WR,49.9,632,3.2,3.9,16,0,0.7,82.8
James Washington,PIT,WR,42.3,655.5,3,0,0,0,0.6,82.4
Larry Fitzgerald,ARI,WR,53.4,580.8,4.3,0,0,0,0.7,82.4
Chris Conley,JAC,WR,41.6,618.7,3.4,0,0,0,0.2,81.8
Cole Beasley,BUF,WR,56.5,617.4,3.5,0,0,0,0.6,81.8
Dede Westbrook,JAC,WR,59.4,622.3,3,3.6,26.1,0,0.7,81.5
Steven Sims,WAS,WR,46.5,476,4.1,8.5,66.4,0.6,0.7,81.2
Denzel Mims,NYJ,WR,43.4,640.5,2.9,2,7,0,0.6,81.1
Corey Davis,TEN,WR,44.7,595.1,3.5,1,8,0,0.2,81
Devin Funchess,GB,WR,39.5,535.9,4,0,0,0,0.1,77.4
Michael Pittman Jr.,IND,WR,38.8,537.4,3.7,3,13,0,0.6,76
Laviska Shenault Jr.,JAC,WR,36.9,513.3,2.5,10.8,75.2,0.1,1.1,71.9
Russell Gage,ATL,WR,51.5,513.6,3.3,3.8,15.1,0,0.6,71.5
Lynn Bowden Jr.,LV,WR,23,208,1,49,337,2,1,70.5
Josh Reynolds,LAR,WR,33.4,477.8,2.6,6.4,35.3,0.1,0.1,67.6
Tee Higgins,CIN,WR,35.7,504.9,2.8,2,9,0,0.6,67.2
John Ross,CIN,WR,27.6,435.4,3.5,5,16.9,0.1,0.7,65.1
Kenny Stills,HOU,WR,30.6,446,3.4,0,0,0,0.1,64.6
Adam Humphries,TEN,WR,46.4,478.9,2.9,2,5,0,0.6,64.3
Antonio Gandy-Golden,WAS,WR,35.1,497.9,2.2,0,0,0,0.2,62.7
Mohamed Sanu,NE,WR,50,499,2,5,19,0,1,61.8
Dante Pettis,SF,WR,23,310,5,0,0,0,0,61
Chase Claypool,PIT,WR,31.3,410.3,3.4,0,0,0,0.2,60.8
Zach Pascal,IND,WR,27.4,393.2,3.2,2,19,0,0.5,59.6
Phillip Dorsett,SEA,WR,28,380.8,3.4,2.2,13.4,0.1,0.4,59.4
Albert Wilson,MIA,WR,47.4,453.5,1.8,6.1,35.8,0.1,0.6,58.9
KJ Hamler,DEN,WR,35,426.1,2.4,2.1,12.3,0.1,0.2,58.1
Ted Ginn,CHI,WR,30.3,435.5,1.9,3.6,22.2,0.1,0.2,57.2
Tre'Quan Smith,NO,WR,23.2,310.8,4.3,0,1,0,0.1,56.6
Allen Hurns,MIA,WR,32.8,422.6,1.8,2.6,15.6,0.1,0.6,54
Kendrick Bourne,SF,WR,25.2,323,3.5,0,0,0,0.1,53.2
Willie Snead,BAL,WR,31.1,357,2.3,2.5,14.9,0.1,0.2,50.8
Olabisi Johnson,MIN,WR,29.5,320.5,3,1,7,0,0,50.6
Jakeem Grant,MIA,WR,27.2,296.9,1.4,7,11,2,0.5,50.4
Miles Boykin,BAL,WR,23.7,339.1,2.8,0,0,0,0.1,50.2
Tyler Johnson,TB,WR,28.6,333.1,2.2,3.9,23.7,0.1,0.2,49
David Moore,SEA,WR,18.5,285.3,2.5,4.4,26.8,0.1,0.3,46.2
Van Jefferson,LAR,WR,24.8,363.7,1.6,2,10,0,0.6,46.1
Trent Taylor,SF,WR,28.5,308.5,2.2,0,0,0,0.1,43.8
Marquise Goodwin,PHI,WR,19.6,282.1,2,3,27,0,0,43.1
Keelan Cole,JAC,WR,20,302.6,1.7,1,4,0,0,41.1
Kelvin Harmon,WAS,WR,24.2,312.3,1.4,0,0,0,0.2,39.3
Tajae Sharpe,MIN,WR,19.8,241.3,2.4,0,2,0,0,38.6
Christian Blake,ATL,WR,23.1,269.9,1.8,0,0,0,0.1,37.6
Devin Duvernay,BAL,WR,21.8,247.7,1.4,2.5,15.2,0.1,0.1,35.1
Andy Isabella,ARI,WR,16.9,219.3,1.5,3.8,19.4,0.1,0.1,33.2
Demarcus Robinson,KC,WR,16.9,223.3,1.8,0,0,0,0.1,33
Scott Miller,TB,WR,16.8,226.5,1.7,0,0,0,0.1,32.3
Jake Kumerow,GB,WR,16.4,225.2,1.4,0,0,0,0.1,30.5
Jakobi Meyers,NE,WR,17.5,226.2,1.2,0,0,0,0.1,29.3
Jalen Hurd,SF,WR,12,156.4,1.1,9.3,55.6,0.3,0.1,28.9
Andre Patton,LAC,WR,14.5,189.6,1.1,0,0,0,0.1,25.3
Marquez Valdes-Scantling,GB,WR,11.4,174.2,1,0,0,0,0.1,23.5
Javon Wims,CHI,WR,13.9,170.6,0.9,0,0,0,0.1,22.5
Kalif Raymond,TEN,WR,10.9,155.3,1.1,0,0,0,0.1,22.2
Hakeem Butler,ARI,WR,12.8,159.5,1,0,0,0,0.1,22
Cordarrelle Patterson,CHI,WR,8.5,80,0.4,14.4,87.4,0.4,0.1,21.3
Olamide Zaccheaus,ATL,WR,11.4,150.4,0.9,0,0,0,0.1,20.1
Riley Ridley,CHI,WR,10.9,139.9,0.7,0,0,0,0.1,17.8
Vyncint Smith,NYJ,WR,9.1,123.8,0.7,1.9,10.9,0.1,0.1,17.7
Rashard Higgins,CLE,WR,9.3,123.2,0.9,0,0,0,0.1,17.3
Bryan Edwards,LV,WR,9.7,123.5,0.8,0,0,0,0.1,17.1
Quintez Cephus,DET,WR,10,126.3,0.7,0,0,0,0.1,16.8
Geronimo Allison,DET,WR,10.6,121.5,0.8,0,0,0,0.1,16.5
Auden Tate,CIN,WR,9.1,120.7,0.7,0,0,0,0.1,16.2
Seth Roberts,CAR,WR,10.7,120.9,0.6,0,0,0,0.1,15.8
Joe Reed,LAC,WR,9,109.3,0.6,0,0,0,0.1,14.1
Marqise Lee,NE,WR,8.4,106.7,0.6,0,0,0,0,14.1
John Ursua,SEA,WR,7.5,95,0.8,0,0,0,0.1,14
DaeSean Hamilton,DEN,WR,9.7,103.2,0.6,0,0,0,0.1,13.9
J.J. Arcega-Whiteside,PHI,WR,6.8,93.6,0.7,0,0,0,0,13.5
Devin Smith,DAL,WR,6.6,90.5,0.7,0,0,0,0,12.9
Justin Watson,TB,WR,7.3,86.7,0.7,0,0,0,0,12.7
Ventell Bryant,DAL,WR,6.8,87.6,0.6,0,0,0,0,12.5
Isaiah McKenzie,BUF,WR,6.4,66.2,0.4,4.1,25.1,0.1,0.1,12
Greg Ward,PHI,WR,6.7,73.3,0.5,2.1,10.6,0.1,0.1,11.7
Damion Ratley,CLE,WR,6,82.2,0.6,0,0,0,0,11.7
Cody Latimer,WAS,WR,6.6,90.2,0.4,0,0,0,0,11.4
KeeSean Johnson,ARI,WR,6.6,77.8,0.6,0,0,0,0,11.1
Deonte Harris,NO,WR,5.2,65.3,0.5,2.1,11.3,0.1,0,10.9
Gabriel Davis,BUF,WR,5.7,78.4,0.4,0,0,0,0,10.2
Trey Quinn,WAS,WR,7.1,78.3,0.4,0,0,0,0,10.2
Nelson Agholor,LV,WR,6.3,68.7,0.5,0,0,0,0.1,9.7
Alex Erickson,CIN,WR,3.4,40.2,0.2,4,24.3,0.1,0.1,8
Corey Coleman,NYG,WR,4.2,54.8,0.4,0,0,0,0,7.9
Byron Pringle,KC,WR,3.5,46,0.3,0,0,0,0,6.5
John Hightower,PHI,WR,2.4,33.3,0.2,2.1,12.4,0.1,0,6.4
Marcus Johnson,IND,WR,3.1,45.8,0.3,0,0,0,0,6.2
Chris Lacy,DET,WR,3.3,44.9,0.3,0,0,0,0,6.2
Cedrick Wilson,DAL,WR,3.3,43.5,0.3,0,0,0,0,6
Brandon Zylstra,CAR,WR,3.6,46.3,0.2,0,0,0,0,6
Equanimeous St. Brown,GB,WR,3.2,43.9,0.3,0,0,0,0,5.9
Laquon Treadwell,ATL,WR,3.9,44.2,0.2,0,0,0,0,5.8
Chad Beebe,MIN,WR,3.2,42.8,0.2,0,0,0,0,5.6
DeAndre Carter,HOU,WR,3.6,42,0.2,0,0,0,0,5.6
Damiere Byrd,NE,WR,3.6,43.6,0.2,0,0,0,0,5.6
Isaiah Ford,MIA,WR,3.6,42.6,0.2,0,0,0,0,5.5
Nsimba Webster,LAR,WR,3.4,43.1,0.2,0,0,0,0,5.5
Braxton Berrios,NYJ,WR,3.3,41.7,0.2,0,0,0,0,5.4
Pharoh Cooper,CAR,WR,3.9,41.4,0.2,0,0,0,0,5.3
Rashard Davis,TEN,WR,2.8,36.6,0.3,0,0,0,0,5.3
Donovan Peoples-Jones,CLE,WR,3,38.1,0.2,0,0,0,0,5.2
Keke Coutee,HOU,WR,3.6,38.2,0.2,0,0,0,0,5.2
De'Anthony Thomas,BAL,WR,3.1,35.7,0.3,0,0,0,0,5.1
Travis Benjamin,SF,WR,2.7,38.3,0.2,0,0,0,0,5.1
Darius Jennings,LAC,WR,3.1,37.7,0.2,0,0,0,0,5
Chris Moore,BAL,WR,2.7,33.7,0.3,0,0,0,0,5
Tim Patrick,DEN,WR,3,37.6,0.2,0,0,0,0,5
K.J. Hill,LAC,WR,3,36.4,0.2,0,0,0,0,4.7
Lil'Jordan Humphrey,NO,WR,1.7,21.6,0.2,0,0,0,0,3.2
Quez Watkins,PHI,WR,1.9,22.8,0.2,0,0,0,0,3.2
Deon Cain,PIT,WR,1.7,22.3,0.2,0,0,0,0,3.1
Collin Johnson,JAC,WR,1.6,22.7,0.1,0,0,0,0,2.9
Cody Core,NYG,WR,1.6,20.3,0.1,0,0,0,0,2.7
Noah Brown,DAL,WR,0,0,0,0,0,0,0,0
Jalen Guyton,LAC,WR,0,0,0,0,0,0,0,0
Zay Jones,LV,WR,0,0,0,0,0,0,0,0
Mike Thomas,CIN,WR,0,0,0,0,0,0,0,0
Maurice Harris,NO,WR,0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,0,0,0,0,0,0,0,0
Kelvin McKnight,DEN,WR,0,0,0,0,0,0,0,0
Josh Bellamy,NYJ,WR,0,0,0,0,0,0,0,0
Gehrig Dieter,KC,WR,0,0,0,0,0,0,0,0
K.J. Osborn,MIN,WR,0,0,0,0,0,0,0,0
Ishmael Hyman,CAR,WR,0,0,0,0,0,0,0,0
Antoine Wesley,BAL,WR,0,0,0,0,0,0,0,0
Jehu Chesson,NYJ,WR,0,0,0,0,0,0,0,0
Mack Hollins,MIA,WR,0,0,0,0,0,0,0,0
Jeff Smith,NYJ,WR,0,0,0,0,0,0,0,0
Rodney Adams,IND,WR,0,0,0,0,0,0,0,0
Darvin Kidsy,WAS,WR,0,0,0,0,0,0,0,0
Ricardo Louis,MIA,WR,0,0,0,0,0,0,0,0
James Proche,BAL,WR,0,0,0,0,0,0,0,0
Taywan Taylor,CLE,WR,0,0,0,0,0,0,0,0
Gunner Olszewski,NE,WR,0,0,0,0,0,0,0,0
Stanley Morgan Jr.,CIN,WR,0,0,0,0,0,0,0,0
Taquan Mizzell,NO,WR,0,0,0,0,0,0,0,0
JoJo Natson,CLE,WR,0,0,0,0,0,0,0,0
Jaleel Scott,BAL,WR,0,0,0,0,0,0,0,0
Cody Hollister,TEN,WR,0,0,0,0,0,0,0,0
Robert Foster,BUF,WR,0,0,0,0,0,0,0,0
Isaac Whitney,HOU,WR,0,0,0,0,0,0,0,0
Derrick Willies,CLE,WR,0,0,0,0,0,0,0,0
Shelton Gibson,PHI,WR,0,0,0,0,0,0,0,0
Dezmon Patmon,IND,WR,0,0,0,0,0,0,0,0
Emmanuel Butler,NO,WR,0,0,0,0,0,0,0,0
Dontrelle Inman,IND,WR,0,0,0,0,0,0,0,0
Terry Godwin,JAC,WR,0,0,0,0,0,0,0,0
Jordan Matthews,SF,WR,0,0,0,0,0,0,0,0
Quadree Henderson,PIT,WR,0,0,0,0,0,0,0,0
Ryan Switzer,PIT,WR,0,0,0,0,0,0,0,0
Rico Gafford,LV,WR,0,0,0,0,0,0,0,0
J'Mon Moore,CLE,WR,0,0,0,0,0,0,0,0
Jaydon Mickens,TB,WR,0,0,0,0,0,0,0,0
Marcus Kemp,KC,WR,0,0,0,0,0,0,0,0
Brandon Powell,ATL,WR,0,0,0,0,0,0,0,0
Steven Mitchell Jr.,HOU,WR,0,0,0,0,0,0,0,0
Cam Sims,WAS,WR,0,0,0,0,0,0,0,0
Tim White,NO,WR,0,0,0,0,0,0,0,0
Marvin Hall,DET,WR,0,0,0,0,0,0,0,0
Tyrie Cleveland,DEN,WR,0,0,0,0,0,0,0,0
Damion Willis,CIN,WR,0,0,0,0,0,0,0,0
Juwann Winfree,DEN,WR,0,0,0,0,0,0,0,0
Cam Batson,TEN,WR,0,0,0,0,0,0,0,0
Michael Walker,JAC,WR,0,0,0,0,0,0,0,0
Diontae Spencer,DEN,WR,0,0,0,0,0,0,0,0
Jester Weah,WAS,WR,0,0,0,0,0,0,0,0
Robert Davis,PHI,WR,0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,0,0,0,0,0,0,0,0
Dylan Cantrell,LAC,WR,0,0,0,0,0,0,0,0
Tevin Jones,DAL,WR,0,0,0,0,0,0,0,0
Chris Thompson,JAC,WR,0,0,0,0,0,0,0,0
Amara Darboh,PIT,WR,0,0,0,0,0,0,0,0
Stephen Sullivan,SEA,WR,0,0,0,0,0,0,0,0
Keelan Doss,LV,WR,0,0,0,0,0,0,0,0
Emanuel Hall,WAS,WR,0,0,0,0,0,0,0,0
Ray-Ray McCloud,BUF,WR,0,0,0,0,0,0,0,0
Matt Slater,NE,WR,0,0,0,0,0,0,0,0
Fred Brown,DEN,WR,0,0,0,0,0,0,0,0
Geremy Davis,DET,WR,0,0,0,0,0,0,0,0
Chad Hansen,HOU,WR,0,0,0,0,0,0,0,0
Charone Peake,JAC,WR,0,0,0,0,0,0,0,0
Davion Davis,MIN,WR,0,0,0,0,0,0,0,0
Josh Doctson,NYJ,WR,0,0,0,0,0,0,0,0
Krishawn Hogan,NO,WR,0,0,0,0,0,0,0,0
Isaiah Coulter,HOU,WR,0,0,0,0,0,0,0,0
Darrius Shepherd,GB,WR,0,0,0,0,0,0,0,0
Dillon Mitchell,MIN,WR,0,0,0,0,0,0,0,0
Keith Kirkwood,CAR,WR,0,0,0,0,0,0,0,0
Trevor Davis,CHI,WR,0,0,0,0,0,0,0,0
Marcell Ateman,LV,WR,0,0,0,0,0,0,0,0
Spencer Schnell,TB,WR,0,0,0,0,0,0,0,0
Darnell Mooney,CHI,WR,0,0,0,0,0,0,0,0
Jason Moore,LAC,WR,0,0,0,0,0,0,0,0
Khadarel Hodge,CLE,WR,0,0,0,0,0,0,0,0
Gary Jennings Jr.,MIA,WR,0,0,0,0,0,0,0,0
DeAndrew White,CAR,WR,0,0,0,0,0,0,0,0
Quincy Adeboyejo,NE,WR,0,0,0,0,0,0,0,0
Tom Kennedy,DET,WR,0,0,0,0,0,0,0,0
Penny Hart,SEA,WR,0,0,0,0,0,0,0,0
Victor Bolden Jr.,DET,WR,0,0,0,0,0,0,0,0
Isaiah Hodgins,BUF,WR,0,0,0,0,0,0,0,0
Andre Roberts,BUF,WR,0,0,0,0,0,0,0,0
C.J. Board,JAC,WR,0,0,0,0,0,0,0,0
Marcus Green,PHI,WR,0,0,0,0,0,0,0,0
Tommylee Lewis,NO,WR,0,0,0,0,0,0,0,0
Chad Williams,IND,WR,0,0,0,0,0,0,0,0
Deontay Burnett,PHI,WR,0,0,0,0,0,0,0,0
Cyril Grayson,TB,WR,0,0,0,0,0,0,0,0
Josh Malone,NYJ,WR,0,0,0,0,0,0,0,0
Trent Sherfield,ARI,WR,0,0,0,0,0,0,0,0
Trenton Irwin,CIN,WR,0,0,0,0,0,0,0,0
Ashton Dulin,IND,WR,0,0,0,0,0,0,0,0
Travis Fulgham,DET,WR,0,0,0,0,0,0,0,0
Jauan Jennings,SF,WR,0,0,0,0,0,0,0,0
Greg Dortch,LAR,WR,0,0,0,0,0,0,0,0
Alexander Hollins,MIN,WR,0,0,0,0,0,0,0,0
Artavis Scott,IND,WR,0,0,0,0,0,0,0,0
Da'Mari Scott,NYG,WR,0,0,0,0,0,0,0,0
